Experiment,Feature-Set,Model,Train-Day,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Wednesday,DOS SLOWHTTPTEST,5499,55340,445530,0.0488,0.1091,0.0675
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Wednesday,DOS SLOWLORIS,5796,55340,445827,4.1071,9.0752,5.655
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Wednesday,HEARTBLEED,11,55340,440042,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,DOS GOLDENEYE,10293,55340,450324,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,DOS HULK,231073,55340,671104,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,DOS SLOWHTTPTEST,5499,55340,445530,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,DOS SLOWLORIS,5796,55340,445827,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,HEARTBLEED,11,55340,440042,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Friday,BOT,1966,55340,416288,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Friday,DDOS,128027,55340,542349,0.1814,0.0125,0.0234
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Friday,PORTSCAN,158930,55340,573252,75.3748,16.954,27.6816
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Friday,BOT,1966,55340,416288,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Friday,DDOS,128027,55340,542349,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Friday,PORTSCAN,158930,55340,573252,84.3003,0.1554,0.3103
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,INFILTRATION,36,55340,456788,0.0101,11.1111,0.0202
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,WEB ATTACK - BRUTE FORCE,1507,55340,458259,0.3595,9.4891,0.6927
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,WEB ATTACK - SQL INJECTION,21,55340,456773,0.0227,42.8571,0.0454
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,WEB ATTACK - XSS,652,55340,457404,0.0151,0.9202,0.0298
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,INFILTRATION,36,55340,456788,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,WEB ATTACK - BRUTE FORCE,1507,55340,458259,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,WEB ATTACK - SQL INJECTION,21,55340,456773,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,WEB ATTACK - XSS,652,55340,457404,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,DOS GOLDENEYE,10293,55340,450324,0.607,0.7287,0.6623
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,DOS HULK,231073,55340,671104,44.1798,4.2065,7.6815
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,DOS SLOWHTTPTEST,5499,55340,445530,0.0488,0.1091,0.0675
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,DOS SLOWLORIS,5796,55340,445827,4.1071,9.0752,5.655
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,HEARTBLEED,11,55340,440042,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,DOS GOLDENEYE,10293,55340,450324,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,DOS HULK,231073,55340,671104,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,DOS SLOWHTTPTEST,5499,55340,445530,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,DOS SLOWLORIS,5796,55340,445827,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,HEARTBLEED,11,55340,440042,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,BOT,1966,500000,416288,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,DDOS,128027,500000,542349,92.8124,63.9857,75.7492
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,PORTSCAN,158930,500000,573252,34.6316,2.1148,3.9861
